19792,-463,3556,-1941,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
19835,-442,3515,-1929,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
19877,-475,3545,-1961,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
19919,-462,3612,-1967,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
19962,-466,3638,-1984,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20004,-472,3601,-1923,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20047,-460,3627,-1958,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20086,-437,3552,-1946,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20125,-446,3495,-1913,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20164,-399,3528,-1956,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20204,-467,3551,-1930,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20243,-520,3619,-1953,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20282,-447,3549,-1996,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20322,-456,3521,-1938,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20361,-443,3572,-1932,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20400,-460,3583,-2021,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20440,-489,3641,-1925,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20476,-466,3632,-1989,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20513,-479,3611,-1991,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20549,-481,3539,-1895,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20586,-487,3562,-1941,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20623,-495,3594,-1928,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20659,-515,3580,-1914,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20696,-546,3588,-1916,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20733,-524,3577,-1925,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20769,-489,3527,-1909,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20806,-504,3574,-1871,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20843,-531,3578,-1904,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20883,-530,3632,-1892,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20923,-528,3586,-1895,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
20964,-497,3581,-1875,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21004,-486,3583,-1913,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21045,-500,3590,-1871,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21085,-527,3601,-1935,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21125,-531,3606,-1870,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21166,-524,3599,-1906,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21206,-507,3625,-1894,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21247,-523,3774,-1791,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21282,-629,3516,-1850,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21317,-703,3521,-1737,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21352,-689,3565,-1633,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21387,-594,3605,-1663,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21422,-587,3640,-1753,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21457,-633,3644,-1750,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21492,-683,3654,-1804,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21527,-626,3646,-1740,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21562,-621,3660,-1864,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21597,-611,3669,-1756,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21632,-630,3605,-1805,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21673,-639,3626,-1837,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21714,-612,3600,-1808,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21755,-616,3652,-1872,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21796,-621,3600,-1806,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21837,-634,3631,-1845,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21878,-643,3626,-1858,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21919,-607,3604,-1836,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
21960,-630,3574,-1804,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22001,-652,3612,-1805,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22043,-627,3634,-1841,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22083,-624,3615,-1836,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22123,-583,3586,-1871,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22163,-644,3618,-1799,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22204,-624,3633,-1876,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22244,-613,3629,-1816,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22284,-595,3607,-1862,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22325,-639,3638,-1820,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22365,-577,3592,-1832,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22405,-612,3611,-1811,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22446,-617,3615,-1837,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22481,-640,3630,-1804,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22516,-624,3612,-1793,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22551,-617,3591,-1827,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22586,-613,3604,-1828,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22621,-609,3585,-1807,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22656,-622,3626,-1821,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22691,-609,3615,-1791,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22726,-612,3587,-1815,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22761,-653,3604,-1779,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22796,-598,3582,-1823,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22832,-587,3599,-1776,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22871,-651,3635,-1827,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22911,-648,3678,-1815,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22950,-621,3645,-1832,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
22990,-608,3607,-1835,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23030,-607,3584,-1829,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23069,-616,3599,-1837,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23109,-611,3571,-1830,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23148,-608,3623,-1830,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23188,-607,3627,-1834,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23228,-646,3635,-1840,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23266,-631,3609,-1838,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23304,-664,3582,-1833,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23342,-624,3626,-1854,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23380,-637,3603,-1859,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23418,-638,3631,-1803,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23456,-611,3611,-1839,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23494,-644,3558,-1829,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23532,-643,3593,-1823,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23570,-634,3607,-1844,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23608,-624,3605,-1825,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23646,-646,3604,-1827,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23691,-635,3557,-1800,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23736,-613,3605,-1838,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23781,-612,3572,-1821,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23826,-636,3598,-1808,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23872,-644,3602,-1838,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23917,-667,3626,-1827,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
23962,-653,3583,-1817,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24007,-657,3600,-1845,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24052,-616,3636,-1816,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24098,-618,3569,-1811,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24133,-628,3578,-1853,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24168,-612,3616,-1860,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24203,-630,3608,-1825,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24238,-616,3583,-1845,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24273,-640,3574,-1824,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24308,-640,3582,-1843,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24343,-639,3610,-1849,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24378,-625,3606,-1847,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24413,-668,3725,-1824,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24448,-647,3656,-1852,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24486,-680,3566,-1812,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24524,-651,3570,-1797,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24562,-618,3565,-1862,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24600,-648,3581,-1814,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24638,-623,3560,-1846,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24676,-617,3534,-1823,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24714,-619,3593,-1827,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24752,-646,3651,-1871,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24790,-630,3609,-1833,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24828,-640,3620,-1831,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24866,-652,3595,-1867,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24904,-623,3590,-1850,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24942,-622,3587,-1831,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
24980,-634,3609,-1855,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25018,-622,3601,-1843,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25056,-651,3563,-1876,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25094,-644,3621,-1813,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25132,-627,3604,-1905,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25170,-639,3608,-1810,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25208,-655,3603,-1848,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25247,-657,3576,-1853,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25285,-637,3593,-1844,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25323,-650,3601,-1864,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25361,-608,3556,-1831,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25399,-659,3591,-1829,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25437,-641,3652,-1870,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25475,-636,3592,-1829,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25513,-648,3612,-1856,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25551,-658,3611,-1845,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25589,-654,3589,-1822,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25627,-623,3561,-1886,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25665,-633,3636,-1825,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25703,-640,3572,-1880,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25741,-646,3619,-1821,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25780,-636,3617,-1864,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25818,-651,3600,-1860,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25856,-639,3633,-1820,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25894,-624,3612,-1861,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25933,-630,3594,-1807,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
25971,-653,3599,-1850,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26009,-642,3586,-1820,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26048,-637,3632,-1824,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26087,-627,3606,-1837,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26127,-653,3654,-1837,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26167,-641,3577,-1820,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26207,-625,3581,-1862,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26247,-665,3628,-1786,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26286,-632,3594,-1864,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26326,-647,3630,-1800,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26366,-650,3605,-1842,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26406,-666,3628,-1797,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26446,-617,3597,-1820,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26480,-616,3610,-1842,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26514,-643,3616,-1809,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26549,-630,3601,-1839,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26583,-645,3630,-1801,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26618,-640,3633,-1826,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26652,-635,3609,-1811,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26687,-647,3596,-1837,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26721,-624,3600,-1804,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26756,-618,3571,-1844,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26790,-636,3658,-1783,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26825,-601,3611,-1886,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26867,-649,3599,-1785,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26909,-618,3619,-1840,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26951,-627,3584,-1824,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
26993,-617,3636,-1836,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27035,-610,3607,-1852,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27077,-618,3589,-1807,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27119,-615,3631,-1828,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27161,-586,3590,-1835,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27203,-615,3593,-1819,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27246,-620,3598,-1828,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27285,-615,3629,-1824,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27324,-615,3598,-1823,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27364,-607,3601,-1843,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27403,-632,3608,-1795,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27443,-548,3595,-1888,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27482,-621,3585,-1804,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27521,-611,3653,-1881,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27561,-605,3610,-1831,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27600,-598,3603,-1853,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27640,-599,3605,-1863,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27676,-598,3584,-1818,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27713,-607,3600,-1828,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27750,-601,3657,-1847,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27787,-604,3671,-1818,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27824,-577,3642,-1831,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27861,-596,3623,-1818,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27898,-579,3639,-1864,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27935,-602,3583,-1848,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
27972,-624,3552,-1806,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28009,-582,3543,-1896,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28046,-629,3654,-1764,,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28086,-591,3614,-1871,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28126,-589,3616,-1831,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28166,-580,3600,-1837,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28207,-560,3590,-1846,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28247,-622,3558,-1827,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28287,-596,3577,-1851,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28328,-612,3594,-1824,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28368,-587,3602,-1859,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28408,-599,3612,-1872,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28449,-592,3600,-1853,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28482,-655,3624,-1875,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28515,-622,3597,-1863,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28549,-630,3613,-1871,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28582,-588,3619,-1824,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28615,-621,3558,-1848,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28649,-651,3594,-1860,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28682,-632,3628,-1854,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28715,-613,3606,-1879,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28749,-617,3602,-1862,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28782,-618,3571,-1874,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28816,-619,3605,-1858,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28857,-630,3604,-1862,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28898,-590,3619,-1847,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28939,-618,3608,-1865,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
28980,-622,3590,-1858,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29021,-601,3557,-1895,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29062,-654,3628,-1802,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29103,-602,3573,-1875,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29144,-611,3608,-1821,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29185,-641,3574,-1857,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29227,-620,3607,-1843,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29271,-630,3644,-1856,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29316,-579,3573,-1872,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29361,-611,3585,-1814,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29406,-614,3620,-1859,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29451,-621,3594,-1837,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29496,-603,3587,-1840,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29541,-586,3618,-1861,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29586,-576,3605,-1852,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29631,-598,3594,-1820,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29676,-615,3571,-1844,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29709,-619,3618,-1852,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29742,-573,3584,-1814,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29775,-563,3656,-1888,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29808,-636,3637,-1872,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29841,-597,3625,-1840,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29874,-587,3636,-1866,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
29907,-563,3574,-1842,48,006b9715-0024-4170-a8a1-80d7e40b2943,,berdiri,bersedekap,,
